Ticker,Company Name,Sub-Sector,Market Cap ($B),EV/EBITDA (NTM),P/E (NTM),FCF Yield (%),PEG Ratio,Valuation Assessment,Pass/Cut,Cut Reason
VRT,Vertiv Holdings,Electrical Equipment,97.9,35,45,1.5,1.8,Premium - justified by data center secular growth,PASS,
WM,Waste Management,Waste Management,93.3,18,30,3.2,2.5,Full - defensive compounder premium,PASS,
TT,Trane Technologies,Building Products & HVAC,90.8,26,35,2.5,2.8,Full - building decarbonization tailwind,PASS,
HWM,Howmet Aerospace,Aerospace & Defense,90.3,28,42,2.0,2.5,Premium - aerospace recovery and spec'd-in position,PASS,
PWR,Quanta Services,Engineering & Construction,83.1,18,28,2.8,1.5,Fair - infrastructure and grid investment cycle,PASS,
CTAS,Cintas Corporation,Facility Services,79.7,28,42,2.2,3.0,Premium,CUT,Extreme valuation with PEG >2.5x on modest organic growth; priced beyond perfection
JCI,Johnson Controls,Building Products & HVAC,79.4,18,25,3.5,2.0,Fair - turnaround re-rating potential,PASS,
SHW,Sherwin-Williams,Industrial Coatings,75.2,24,32,2.8,2.5,Full - best-in-class coatings franchise,PASS,
ITW,Illinois Tool Works,Specialty Industrial Machinery,74.3,20,26,3.5,3.0,Premium,CUT,Elevated PEG on low-single-digit organic growth; priced for perfection on modest growth
CMI,Cummins Inc.,Power Management,73.7,14,18,4.5,1.5,Fair - power generation and data center optionality,PASS,
ECL,Ecolab Inc.,Specialty Chemicals,72.3,24,38,2.5,3.0,Premium,CUT,Extreme multiple on mid-single-digit growth; PEG stretched
EMR,Emerson Electric,Industrial Automation,72.0,18,24,3.5,2.0,Fair - automation and software transformation,PASS,
TDG,TransDigm Group,Aerospace & Defense,69.2,22,35,2.5,2.0,Fair - aftermarket pricing power justifies premium,PASS,
RSG,Republic Services,Waste Management,67.5,16,28,3.0,2.3,Full - defensive compounder premium,PASS,
APD,Air Products,Industrial Gases,62.6,16,22,3.0,2.0,Fair - depressed on green hydrogen capex cycle,PASS,
AXON,Axon Enterprise,Fire/Life Safety & Security,53.2,60,80,1.0,2.5,Premium,CUT,Extreme valuation at 80x P/E; priced for sustained 30%+ growth that may decelerate
FAST,Fastenal Company,Industrial Distribution,50.2,24,34,2.8,3.0,Premium,CUT,Elevated PEG on high-single-digit growth; priced beyond fair for a distributor
GWW,W.W. Grainger,Industrial Distribution,49.4,18,24,3.5,2.2,Full - scale advantages and margin expansion,PASS,
CARR,Carrier Global,Building Products & HVAC,48.5,18,24,3.2,1.8,Fair - Viessmann integration upside,PASS,
AME,AMETEK Inc.,Industrial Automation,47.9,22,30,3.0,2.2,Full - serial acquirer premium warranted,PASS,
FIX,Comfort Systems USA,Engineering & Construction,47.7,20,28,3.0,1.5,Fair - data center buildout beneficiary,PASS,
KEYS,Keysight Technologies,Test & Measurement,47.6,24,32,2.8,2.0,Full - positioned for 5G/AI test infrastructure,PASS,
HEI,HEICO Corporation,Aerospace & Defense,46.3,30,50,1.8,2.5,Premium,CUT,Extreme multiple on excellent business; PEG stretched at 2.5x on 15% growth
URI,United Rentals,Rental Equipment,44.8,10,16,5.0,1.2,Attractive - infrastructure cycle with scale advantages,PASS,
GRMN,Garmin Ltd.,Test & Measurement,44.7,20,24,3.8,2.0,Fair - diversified consumer/aviation/marine,PASS,
FERG,Ferguson Enterprises,Industrial Distribution,42.5,14,20,4.0,1.8,Fair - plumbing and HVAC distribution leader,PASS,
WCN,Waste Connections,Waste Management,41.6,18,32,2.5,2.2,Full - premium waste operator,PASS,
ROK,Rockwell Automation,Industrial Automation,39.9,28,38,2.2,2.5,Premium,CUT,Elevated valuation on depressed earnings with uncertain recovery timeline
ODFL,Old Dominion Freight,Transportation & Logistics,38.0,20,30,2.8,2.0,Full - best-in-class LTL operator,PASS,
ROP,Roper Technologies,Industrial Software,37.6,24,30,3.0,2.5,Full - software-like recurring revenue deserves premium,PASS,
EME,EMCOR Group,Engineering & Construction,32.3,14,18,4.5,1.0,Attractive - data center and grid beneficiary,PASS,
IR,Ingersoll Rand,Industrial Automation,31.9,20,26,3.0,1.5,Fair - compressor and pump demand steady,PASS,
ROL,Rollins Inc.,Facility Services,31.4,30,48,2.0,3.2,Premium,CUT,Extreme PEG on 10% growth for pest control; priced beyond perfection
OTIS,Otis Worldwide,Specialty Industrial Machinery,30.9,18,24,3.8,2.5,Full - service/maintenance recurring revenue,PASS,
XYL,Xylem Inc.,Water Infrastructure,29.3,20,28,2.8,1.8,Fair - water infrastructure secular growth,PASS,
TDY,Teledyne Technologies,Test & Measurement,28.5,18,26,3.2,2.0,Fair - diversified instruments platform,PASS,
DOV,Dover Corporation,Industrial Automation,28.2,16,20,4.0,2.0,Fair - diversified industrial at reasonable valuation,PASS,
SUNB,Sunbelt Rentals,Rental Equipment,26.5,10,18,4.0,1.2,Attractive - infrastructure and construction cycle,PASS,
