Ticker,Company Name,Sub-Sector,Market Cap ($B),5Y Avg ROIC (%),Gross Margin (%),EBITDA Margin (%),FCF Conversion (%),Net Debt/EBITDA,5Y Rev CAGR (%),Margin Trend,Capital Allocation,Pass/Cut,Cut Reason
VRT,Vertiv Holdings,Electrical Equipment,97.9,14,36,18,85,2.8,18,Expanding,Good,PASS,
WM,Waste Management,Waste Management,93.3,14,39,28,90,2.5,7,Stable,Excellent,PASS,
TT,Trane Technologies,Building Products & HVAC,90.8,18,35,21,95,1.5,8,Expanding,Excellent,PASS,
HWM,Howmet Aerospace,Aerospace & Defense,90.3,16,34,27,85,2.0,10,Expanding,Excellent,PASS,
PWR,Quanta Services,Engineering & Construction,83.1,12,14,9,70,1.8,18,Expanding,Good,PASS,
CTAS,Cintas Corporation,Facility Services,79.7,25,48,33,100,0.8,9,Expanding,Excellent,PASS,
JCI,Johnson Controls,Building Products & HVAC,79.4,10,33,16,80,2.2,3,Stable,Good,PASS,
SHW,Sherwin-Williams,Industrial Coatings,75.2,22,48,20,95,2.5,5,Expanding,Excellent,PASS,
ITW,Illinois Tool Works,Specialty Industrial Machinery,74.3,28,44,27,100,1.5,3,Stable,Excellent,PASS,
CMI,Cummins Inc.,Power Management,73.7,14,34,16,80,1.8,8,Stable,Good,PASS,
ECL,Ecolab Inc.,Specialty Chemicals,72.3,12,42,19,85,2.2,5,Expanding,Good,PASS,
EMR,Emerson Electric,Industrial Automation,72.0,13,50,25,90,1.5,6,Expanding,Good,PASS,
TDG,TransDigm Group,Aerospace & Defense,69.2,22,59,47,85,6.5,12,Expanding,Excellent,PASS,Flagged: high leverage is intentional capital structure but Net Debt/EBITDA elevated
RSG,Republic Services,Waste Management,67.5,11,42,29,85,2.8,10,Expanding,Excellent,PASS,
APD,Air Products,Industrial Gases,62.6,10,32,38,70,3.2,4,Stable,Good,PASS,Flagged: large capex program for green hydrogen depresses near-term ROIC and FCF conversion
AXON,Axon Enterprise,Fire/Life Safety & Security,53.2,15,60,22,80,0.0,30,Expanding,Good,PASS,
FAST,Fastenal Company,Industrial Distribution,50.2,30,46,22,100,0.0,8,Stable,Excellent,PASS,
GWW,W.W. Grainger,Industrial Distribution,49.4,28,39,16,95,0.5,8,Expanding,Excellent,PASS,
CARR,Carrier Global,Building Products & HVAC,48.5,11,30,17,80,2.8,5,Expanding,Good,PASS,
AME,AMETEK Inc.,Industrial Automation,47.9,18,36,28,110,1.2,7,Expanding,Excellent,PASS,
FIX,Comfort Systems USA,Engineering & Construction,47.7,18,20,11,90,0.5,22,Expanding,Good,PASS,
KEYS,Keysight Technologies,Test & Measurement,47.6,16,64,27,100,0.8,6,Stable,Good,PASS,
COHR,Coherent Corp.,Test & Measurement,47.6,6,34,18,60,3.5,15,Expanding,Fair,CUT,Below-threshold ROIC and weak FCF conversion post-II-VI merger integration
HEI,HEICO Corporation,Aerospace & Defense,46.3,14,39,26,90,1.5,15,Expanding,Excellent,PASS,
URI,United Rentals,Rental Equipment,44.8,13,40,47,55,2.2,16,Expanding,Excellent,PASS,
GRMN,Garmin Ltd.,Test & Measurement,44.7,22,58,26,100,0.0,10,Expanding,Excellent,PASS,
FERG,Ferguson Enterprises,Industrial Distribution,42.5,18,31,10,90,1.0,8,Stable,Excellent,PASS,
WCN,Waste Connections,Waste Management,41.6,9,41,31,80,2.5,12,Expanding,Excellent,PASS,
ROK,Rockwell Automation,Industrial Automation,39.9,22,60,24,95,1.5,5,Stable,Excellent,PASS,
ODFL,Old Dominion Freight,Transportation & Logistics,38.0,22,41,30,85,0.2,10,Expanding,Excellent,PASS,
ROP,Roper Technologies,Industrial Software,37.6,10,68,36,120,2.5,5,Expanding,Excellent,PASS,
EME,EMCOR Group,Engineering & Construction,32.3,20,17,9,90,0.0,18,Expanding,Good,PASS,
IR,Ingersoll Rand,Industrial Automation,31.9,10,44,26,85,2.0,15,Expanding,Good,PASS,
ROL,Rollins Inc.,Facility Services,31.4,28,52,22,95,0.8,10,Expanding,Excellent,PASS,
OTIS,Otis Worldwide,Specialty Industrial Machinery,30.9,35,36,17,100,2.5,5,Stable,Good,PASS,
XYL,Xylem Inc.,Water Infrastructure,29.3,10,39,19,80,2.0,15,Expanding,Good,PASS,
TDY,Teledyne Technologies,Test & Measurement,28.5,11,43,24,90,1.2,8,Expanding,Excellent,PASS,
DOV,Dover Corporation,Industrial Automation,28.2,14,38,22,90,1.5,5,Stable,Good,PASS,
SUNB,Sunbelt Rentals,Rental Equipment,26.5,10,46,42,50,2.8,15,Expanding,Good,PASS,
CW,Curtiss-Wright,Aerospace & Defense,26.1,12,36,20,85,1.0,7,Expanding,Excellent,PASS,
HUBB,Hubbell Incorporated,Electrical Equipment,25.3,18,35,22,90,1.2,12,Expanding,Excellent,PASS,
