Rank,Tier,Ticker,Company Name,Sub-Sector,Market Cap ($B),Composite Score,Moat Strength,Moat Trajectory,Financial Quality,Valuation,Key Thesis
1,Tier 1 - Elite Compounders,TT,Trane Technologies,Building Products & HVAC,90.8,95,Strong,Widening,Excellent,Full,"Building decarbonization + HVAC replacement cycle; 18% ROIC with expanding margins; spec'd-in on commercial projects"
2,Tier 1 - Elite Compounders,TDG,TransDigm Group,Aerospace & Defense,69.2,94,Very Strong,Widening,Excellent,Fair,"Proprietary sole-source aerospace aftermarket parts; 22% ROIC; 47% EBITDA margins; intentional leverage strategy funds acquisitions"
3,Tier 1 - Elite Compounders,SHW,Sherwin-Williams,Industrial Coatings,75.2,93,Very Strong,Widening,Excellent,Full,"Dominant paint/coatings distribution network; 22% ROIC; owned stores create switching costs; architectural + industrial mix"
4,Tier 1 - Elite Compounders,WM,Waste Management,Waste Management,93.3,92,Very Strong,Widening,Excellent,Full,"Physical landfill network moat; 14% ROIC with pricing power; recycling and renewable energy optionality"
5,Tier 1 - Elite Compounders,AME,AMETEK Inc.,Industrial Automation,47.9,92,Strong,Widening,Excellent,Full,"Disciplined serial acquirer of niche instrument businesses; 18% ROIC; 28% EBITDA margins; 110% FCF conversion"
6,Tier 1 - Elite Compounders,RSG,Republic Services,Waste Management,67.5,91,Very Strong,Widening,Excellent,Full,"#2 waste operator with density advantages; sustainability services expansion; strong pricing discipline"
7,Tier 1 - Elite Compounders,ODFL,Old Dominion Freight,Transportation & Logistics,38.0,91,Very Strong,Widening,Excellent,Full,"Best-in-class LTL carrier with 22% ROIC; 30% EBITDA margins; service premium commands pricing power"
8,Tier 1 - Elite Compounders,GWW,W.W. Grainger,Industrial Distribution,49.4,90,Strong,Stable,Excellent,Full,"Scale-driven MRO distribution; 28% ROIC; Zoro digital growth; margin expansion from endless aisle strategy"
9,Tier 1 - Elite Compounders,FERG,Ferguson Enterprises,Industrial Distribution,42.5,90,Strong,Stable,Excellent,Fair,"Dominant plumbing/HVAC distributor; 18% ROIC; trade-pro relationships create switching costs; bolt-on M&A discipline"
10,Tier 1 - Elite Compounders,ROP,Roper Technologies,Industrial Software,37.6,90,Strong,Widening,Excellent,Full,"Software-centric serial acquirer; 120% FCF conversion; asset-light model with recurring revenue; Danaher-like playbook"
11,Tier 2 - High Quality Compounders,HWM,Howmet Aerospace,Aerospace & Defense,90.3,89,Very Strong,Widening,Excellent,Premium,"Sole-source aerospace castings and fasteners; 16% ROIC; certification barriers; multi-year production ramp"
12,Tier 2 - High Quality Compounders,VRT,Vertiv Holdings,Electrical Equipment,97.9,88,Strong,Widening,Good,Premium,"Data center power/cooling infrastructure; 14% ROIC with rapid margin expansion; massive secular tailwind from AI buildout"
13,Tier 2 - High Quality Compounders,URI,United Rentals,Rental Equipment,44.8,88,Strong,Widening,Good,Attractive,"#1 equipment rental with scale advantages; 13% ROIC; infrastructure spending tailwind; 5% FCF yield at 16x P/E"
14,Tier 2 - High Quality Compounders,CSL,Carlisle Companies,Building Products,13.4,88,Strong,Widening,Excellent,Attractive,"Dominant commercial roofing (CCM); 20% ROIC; margin expansion from 80/20 simplification; 4.5% FCF yield"
15,Tier 2 - High Quality Compounders,EME,EMCOR Group,Engineering & Construction,32.3,87,Strong,Widening,Excellent,Attractive,"Mechanical/electrical contracting for data centers; 20% ROIC; zero net debt; 4.5% FCF yield"
16,Tier 2 - High Quality Compounders,WCN,Waste Connections,Waste Management,41.6,87,Strong,Widening,Good,Full,"Premium waste operator focused on exclusive markets; disciplined M&A; strong culture advantage"
17,Tier 2 - High Quality Compounders,HUBB,Hubbell Incorporated,Electrical Equipment,25.3,87,Strong,Widening,Excellent,Fair,"Utility and electrical products for grid modernization; 18% ROIC; regulatory-driven demand visibility"
18,Tier 2 - High Quality Compounders,ITT,ITT Inc.,Industrial Automation,15.7,87,Strong,Stable,Excellent,Attractive,"Underappreciated pump/connector/brake compounder; 15% ROIC; 3.8% FCF yield; low leverage"
19,Tier 2 - High Quality Compounders,FIX,Comfort Systems USA,Engineering & Construction,47.7,86,Strong,Widening,Good,Fair,"HVAC/mechanical contracting leader; data center buildout beneficiary; 18% ROIC with expanding margins"
20,Tier 2 - High Quality Compounders,ALLE,Allegion plc,Fire/Life Safety & Security,12.3,86,Strong,Stable,Excellent,Fair,"Access control and smart lock leader; 20% ROIC; electronic lock upgrade cycle; spec'd-in with architects"
21,Tier 2 - High Quality Compounders,CMI,Cummins Inc.,Power Management,73.7,86,Strong,Stable,Good,Fair,"Power generation diversification beyond truck engines; data center backup power demand; hydrogen optionality"
22,Tier 2 - High Quality Compounders,IR,Ingersoll Rand,Industrial Automation,31.9,86,Strong,Widening,Good,Fair,"Compressor and pump platform with M&A growth; 10% ROIC improving post-transformation; margin expansion story"
23,Tier 2 - High Quality Compounders,AIT,Applied Industrial Tech,Industrial Distribution,9.5,86,Strong,Widening,Excellent,Attractive,"Value-added industrial distribution; 16% ROIC; automation and fluid power expertise; 4.5% FCF yield"
24,Tier 2 - High Quality Compounders,STRL,Sterling Infrastructure,Engineering & Construction,12.3,85,Strong,Widening,Good,Attractive,"E-infrastructure and data center site work leader; 18% ROIC; strong pipeline visibility"
25,Tier 2 - High Quality Compounders,BLD,TopBuild Corp.,Building Products,9.4,85,Strong,Widening,Good,Attractive,"Insulation installation duopoly; 18% ROIC; code-driven demand; 5% FCF yield"
