Ticker,Company Name,Sub-Sector,Market Cap ($B),Primary Moat Sources,AI Disruption Risk,Secular Headwind,Moat Trajectory,Pass/Cut,Cut Reason
VRT,Vertiv Holdings,Electrical Equipment,97.9,"Installed base/switching costs, Scale economics shared",Low,,Widening,PASS,
WM,Waste Management,Waste Management,93.3,"Physical network/distribution scale, Regulatory barriers",Low,,Widening,PASS,
TT,Trane Technologies,Building Products & HVAC,90.8,"Installed base/switching costs, Brand/spec preference, Proprietary process/IP",Low,,Widening,PASS,
HWM,Howmet Aerospace,Aerospace & Defense,90.3,"Proprietary process/IP, Regulatory/certification barriers",Low,,Widening,PASS,
PWR,Quanta Services,Engineering & Construction,83.1,"Physical network/distribution scale, Regulatory barriers",Medium,,Stable,PASS,
CTAS,Cintas Corporation,Facility Services,79.7,"Physical network/distribution scale, Installed base/switching costs",Low,,Widening,PASS,
JCI,Johnson Controls,Building Products & HVAC,79.4,"Installed base/switching costs, Brand/spec preference",Medium,,Stable,PASS,
SHW,Sherwin-Williams,Industrial Coatings,75.2,"Physical network/distribution scale, Brand/spec preference, Scale economics",Low,,Widening,PASS,
ITW,Illinois Tool Works,Specialty Industrial Machinery,74.3,"Installed base/switching costs, Proprietary process/IP (80/20 front-to-back)",Low,,Stable,PASS,
CMI,Cummins Inc.,Power Management,73.7,"Installed base/switching costs, Regulatory barriers, Proprietary process/IP",Low,EV transition risk for on-highway,Stable,PASS,Flagged: EV headwind for truck engines but diversified into power gen and hydrogen
ECL,Ecolab Inc.,Specialty Chemicals,72.3,"Installed base/switching costs, Data/feedback loop, Proprietary process/IP",Low,,Widening,PASS,
EMR,Emerson Electric,Industrial Automation,72.0,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
TDG,TransDigm Group,Aerospace & Defense,69.2,"Installed base/switching costs, Regulatory/certification barriers",Low,,Widening,PASS,
RSG,Republic Services,Waste Management,67.5,"Physical network/distribution scale, Regulatory barriers",Low,,Widening,PASS,
APD,Air Products,Industrial Gases,62.6,"Physical network/distribution scale, Scale economics shared, Regulatory barriers",Low,,Stable,PASS,
AXON,Axon Enterprise,Fire/Life Safety & Security,53.2,"Installed base/switching costs, Data/feedback loop, Regulatory barriers",Low,,Widening,PASS,
FAST,Fastenal Company,Industrial Distribution,50.2,"Physical network/distribution scale, Installed base/switching costs (vending/bins)",Low,,Widening,PASS,
GWW,W.W. Grainger,Industrial Distribution,49.4,"Physical network/distribution scale, Scale economics shared",Low,,Stable,PASS,
CARR,Carrier Global,Building Products & HVAC,48.5,"Brand/spec preference, Installed base/switching costs, Regulatory barriers",Low,,Stable,PASS,
AME,AMETEK Inc.,Industrial Automation,47.9,"Installed base/switching costs, Proprietary process/IP",Low,,Widening,PASS,
FIX,Comfort Systems USA,Engineering & Construction,47.7,"Physical network/distribution scale, Regulatory barriers",Medium,,Widening,PASS,
KEYS,Keysight Technologies,Test & Measurement,47.6,"Installed base/switching costs, Proprietary process/IP",Medium,,Stable,PASS,
COHR,Coherent Corp.,Test & Measurement,47.6,"Proprietary process/IP, Installed base/switching costs",Medium,,Stable,PASS,
HEI,HEICO Corporation,Aerospace & Defense,46.3,"Regulatory/certification barriers, Scale economics shared",Low,,Widening,PASS,
URI,United Rentals,Rental Equipment,44.8,"Physical network/distribution scale, Scale economics shared",Low,,Widening,PASS,
GRMN,Garmin Ltd.,Test & Measurement,44.7,"Brand/spec preference, Proprietary process/IP, Data/feedback loop",Medium,,Stable,PASS,
FERG,Ferguson Enterprises,Industrial Distribution,42.5,"Physical network/distribution scale, Scale economics shared",Low,,Stable,PASS,
WCN,Waste Connections,Waste Management,41.6,"Physical network/distribution scale, Regulatory barriers",Low,,Widening,PASS,
ROK,Rockwell Automation,Industrial Automation,39.9,"Installed base/switching costs, Proprietary process/IP, Data/feedback loop",Low,,Widening,PASS,
ODFL,Old Dominion Freight,Transportation & Logistics,38.0,"Physical network/distribution scale, Scale economics shared",Low,,Widening,PASS,
ROP,Roper Technologies,Industrial Software/Serial Acquirer,37.6,"Installed base/switching costs, Data/feedback loop",Low,,Widening,PASS,
EME,EMCOR Group,Engineering & Construction,32.3,"Physical network/distribution scale, Regulatory barriers",Medium,,Widening,PASS,
IR,Ingersoll Rand,Industrial Automation,31.9,"Installed base/switching costs, Brand/spec preference",Low,,Widening,PASS,
ROL,Rollins Inc.,Facility Services,31.4,"Physical network/distribution scale, Brand/spec preference",Low,,Widening,PASS,
OTIS,Otis Worldwide,Specialty Industrial Machinery,30.9,"Installed base/switching costs, Physical network/distribution scale",Low,,Stable,PASS,
XYL,Xylem Inc.,Water Infrastructure,29.3,"Installed base/switching costs, Regulatory barriers, Data/feedback loop",Low,,Widening,PASS,
TDY,Teledyne Technologies,Test & Measurement,28.5,"Proprietary process/IP, Regulatory/certification barriers",Low,,Stable,PASS,
DOV,Dover Corporation,Industrial Automation,28.2,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
SUNB,Sunbelt Rentals,Rental Equipment,26.5,"Physical network/distribution scale, Scale economics shared",Low,,Widening,PASS,
CW,Curtiss-Wright,Aerospace & Defense,26.1,"Regulatory/certification barriers, Proprietary process/IP",Low,,Widening,PASS,
HUBB,Hubbell Incorporated,Electrical Equipment,25.3,"Brand/spec preference, Regulatory barriers, Physical network",Low,,Widening,PASS,
MTZ,MasTec Inc.,Engineering & Construction,23.7,"Physical network/distribution scale, Scale economics",Low,,Stable,PASS,
LYB,LyondellBasell,Specialty Chemicals,23.6,"Scale economics shared",Low,Petrochemical commodity exposure,Narrowing,CUT,Pure commodity producer with limited differentiation; moat trajectory narrowing
WWD,Woodward Inc.,Aerospace & Defense,22.3,"Installed base/switching costs, Regulatory/certification barriers",Low,,Widening,PASS,
VLTO,Veralto Corporation,Water/Pollution Treatment,22.0,"Installed base/switching costs, Regulatory barriers, Proprietary process/IP",Low,,Stable,PASS,
PPG,PPG Industries,Industrial Coatings,21.7,"Brand/spec preference, Physical network, Scale economics",Low,,Stable,PASS,
NVT,nVent Electric,Electrical Equipment,18.8,"Installed base/switching costs, Brand/spec preference",Low,,Widening,PASS,
ALB,Albemarle Corporation,Specialty Chemicals,18.5,"Proprietary process/IP, Scale economics",Low,Lithium price volatility,Stable,PASS,Flagged: commodity-like lithium exposure but process IP in specialty
BWXT,BWX Technologies,Aerospace & Defense,18.3,"Regulatory/certification barriers, Proprietary process/IP",Low,,Widening,PASS,
PKG,Packaging Corp of America,Specialty Packaging,18.1,"Scale economics shared, Physical network",Low,,Stable,PASS,
DD,DuPont de Nemours,Specialty Chemicals,17.4,"Proprietary process/IP, Installed base/switching costs",Low,,Stable,PASS,
IFF,Int'l Flavors & Fragrances,Specialty Chemicals,17.0,"Proprietary process/IP, Installed base/switching costs",Low,,Stable,PASS,
FTV,Fortive Corporation,Test & Measurement,17.0,"Installed base/switching costs, Data/feedback loop",Low,,Widening,PASS,
APG,APi Group,Engineering & Construction,17.0,"Physical network/distribution scale, Installed base/switching costs",Low,,Widening,PASS,
LII,Lennox International,Building Products & HVAC,16.3,"Brand/spec preference, Physical network/distribution scale",Low,,Stable,PASS,
RTO,Rentokil Initial,Facility Services,16.0,"Physical network/distribution scale, Scale economics shared",Low,,Stable,PASS,
ITT,ITT Inc.,Industrial Automation,15.7,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
TRMB,Trimble Inc.,Test & Measurement,15.4,"Installed base/switching costs, Data/feedback loop, Proprietary process/IP",Low,,Widening,PASS,
MKSI,MKS Instruments,Test & Measurement,15.3,"Installed base/switching costs, Proprietary process/IP",Medium,,Stable,PASS,
WSO,Watsco Inc.,Industrial Distribution,15.2,"Physical network/distribution scale, Installed base/switching costs",Low,,Widening,PASS,
J,Jacobs Solutions,Engineering & Construction,15.2,"Scale economics, Regulatory barriers",High,,Stable,CUT,Primary value-add is engineering talent/consulting which is vulnerable to AI
BALL,Ball Corporation,Specialty Packaging,15.2,"Scale economics shared, Installed base/switching costs",Low,,Stable,PASS,
XPO,XPO Inc.,Transportation & Logistics,14.8,"Physical network/distribution scale, Scale economics",Low,,Widening,PASS,
NDSN,Nordson Corporation,Industrial Automation,14.7,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
TXT,Textron Inc.,Aerospace & Defense,14.7,"Regulatory/certification barriers, Brand/spec preference",Low,,Stable,PASS,
GFL,GFL Environmental,Waste Management,14.6,"Physical network/distribution scale, Regulatory barriers",Low,,Widening,PASS,
CLH,Clean Harbors,Waste Management,14.6,"Regulatory/certification barriers, Physical network/distribution scale",Low,,Widening,PASS,
RPM,RPM International,Specialty Chemicals,14.5,"Brand/spec preference, Installed base/switching costs",Low,,Stable,PASS,
PNR,Pentair plc,Water Infrastructure,14.1,"Brand/spec preference, Installed base/switching costs",Low,,Stable,PASS,
GGG,Graco Inc.,Fluid Handling,13.9,"Brand/spec preference, Proprietary process/IP, Installed base/switching costs",Low,,Widening,PASS,
IEX,IDEX Corporation,Fluid Handling,13.7,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
CSL,Carlisle Companies,Building Products,13.4,"Brand/spec preference, Installed base/switching costs",Low,,Widening,PASS,
AVY,Avery Dennison,Specialty Packaging,12.4,"Installed base/switching costs, Proprietary process/IP, Scale economics",Low,,Widening,PASS,
STRL,Sterling Infrastructure,Engineering & Construction,12.3,"Physical network, Regulatory barriers",Medium,,Widening,PASS,
ALLE,Allegion plc,Fire/Life Safety & Security,12.3,"Installed base/switching costs, Brand/spec preference, Regulatory barriers",Low,,Stable,PASS,
CNH,CNH Industrial,Agricultural Equipment,12.3,"Physical network/distribution scale, Brand/spec preference",Low,,Stable,PASS,
WCC,WESCO International,Industrial Distribution,12.2,"Physical network/distribution scale, Scale economics shared",Low,,Stable,PASS,
MAS,Masco Corporation,Building Products,12.0,"Brand/spec preference",Low,,Stable,CUT,Primary moat is brand preference only (Delta faucets Behr paint) with limited structural reinforcement
AEIS,Advanced Energy Industries,Electrical Equipment,12.0,"Installed base/switching costs, Proprietary process/IP",Medium,,Stable,PASS,
CHRW,C.H. Robinson,Transportation & Logistics,12.0,"Physical network/distribution scale, Data/feedback loop",High,,Narrowing,CUT,Freight brokerage model highly vulnerable to AI disruption; moat narrowing as digital brokers gain share
GNRC,Generac Holdings,Power Management,11.7,"Brand/spec preference, Installed base/switching costs",Low,,Widening,PASS,
RRX,Regal Rexnord,Industrial Automation,11.7,"Installed base/switching costs, Brand/spec preference",Low,,Stable,PASS,
ACM,AECOM,Engineering & Construction,11.5,"Scale economics, Regulatory barriers",High,,Stable,CUT,Engineering consulting model where primary value-add is design expertise vulnerable to AI
CCK,Crown Holdings,Specialty Packaging,11.2,"Scale economics shared, Installed base/switching costs",Low,,Stable,PASS,
EMN,Eastman Chemical,Specialty Chemicals,10.5,"Proprietary process/IP, Installed base/switching costs",Low,,Stable,PASS,
SAIA,Saia Inc.,Transportation & Logistics,10.5,"Physical network/distribution scale",Low,,Widening,PASS,
WMS,Advanced Drainage Systems,Building Products,10.3,"Brand/spec preference, Physical network, Regulatory barriers",Low,,Widening,PASS,
DY,Dycom Industries,Engineering & Construction,10.1,"Physical network/distribution scale, Scale economics",Low,,Widening,PASS,
GTLS,Chart Industries,Industrial Automation,9.9,"Proprietary process/IP, Installed base/switching costs",Low,,Widening,PASS,
WTS,Watts Water Technologies,Water Infrastructure,9.8,"Regulatory barriers, Brand/spec preference, Installed base/switching costs",Low,,Stable,PASS,
AIT,Applied Industrial Tech,Industrial Distribution,9.5,"Physical network/distribution scale, Installed base/switching costs",Low,,Widening,PASS,
BLD,TopBuild Corp.,Building Products,9.4,"Physical network/distribution scale, Scale economics shared",Low,,Widening,PASS,
SPXC,SPX Technologies,Building Products,9.3,"Installed base/switching costs, Brand/spec preference",Low,,Widening,PASS,
CNM,Core & Main,Industrial Distribution,9.0,"Physical network/distribution scale, Scale economics shared",Low,,Widening,PASS,
BLDR,Builders FirstSource,Building Products,9.0,"Physical network/distribution scale, Scale economics",Low,,Stable,PASS,
OSK,Oshkosh Corporation,Farm & Construction Equipment,8.8,"Regulatory/certification barriers, Brand/spec preference",Low,,Stable,PASS,
CGNX,Cognex Corporation,Test & Measurement,8.2,"Proprietary process/IP, Data/feedback loop, Installed base/switching costs",Low,,Widening,PASS,
AYI,Acuity Brands,Electrical Equipment,8.2,"Brand/spec preference, Installed base/switching costs, Data/feedback loop",Low,,Stable,PASS,
OC,Owens Corning,Building Products,8.0,"Scale economics shared, Brand/spec preference",Low,,Stable,PASS,
TTEK,Tetra Tech,Engineering & Construction,7.9,"Regulatory barriers, Scale economics",Medium,,Stable,PASS,Flagged: consulting element but deep regulatory/environmental expertise
AGCO,AGCO Corporation,Agricultural Equipment,7.9,"Physical network/distribution scale, Brand/spec preference",Low,,Stable,PASS,
CE,Celanese Corporation,Specialty Chemicals,7.5,"Proprietary process/IP, Scale economics",Low,,Stable,PASS,
PRIM,Primoris Services,Engineering & Construction,7.5,"Physical network, Regulatory barriers",Medium,,Stable,PASS,
POOL,Pool Corporation,Industrial Distribution,7.4,"Physical network/distribution scale, Scale economics shared",Low,,Stable,PASS,
ZWS,Zurn Elkay Water Solutions,Water Infrastructure,7.3,"Brand/spec preference, Regulatory barriers, Installed base/switching costs",Low,,Stable,PASS,
AXTA,Axalta Coating Systems,Industrial Coatings,7.0,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
AWI,Armstrong World Industries,Building Products,7.0,"Brand/spec preference, Installed base/switching costs",Low,,Stable,PASS,
ESE,ESCO Technologies,Test & Measurement,6.8,"Installed base/switching costs, Proprietary process/IP, Regulatory barriers",Low,,Stable,PASS,
FLR,Fluor Corporation,Engineering & Construction,6.6,"Scale economics, Regulatory barriers",High,,Stable,CUT,Large-scale EPC model where core moat is project management expertise vulnerable to AI
MSA,MSA Safety,Fire/Life Safety & Security,6.6,"Regulatory/certification barriers, Brand/spec preference, Installed base/switching costs",Low,,Stable,PASS,
AAON,AAON Inc.,Building Products & HVAC,6.5,"Brand/spec preference, Proprietary process/IP",Low,,Widening,PASS,
TEX,Terex Corporation,Farm & Construction Equipment,6.5,"Brand/spec preference",Low,,Stable,CUT,Primary moat is brand only with no structural reinforcement; commodity-like equipment
FSS,Federal Signal Corp.,Pollution Treatment,6.4,"Brand/spec preference, Regulatory barriers",Low,,Stable,PASS,
POWL,Powell Industries,Electrical Equipment,6.3,"Regulatory/certification barriers, Installed base/switching costs",Low,,Widening,PASS,
HXL,Hexcel Corporation,Aerospace & Defense,6.2,"Proprietary process/IP, Regulatory/certification barriers",Low,,Stable,PASS,
SEE,Sealed Air Corporation,Specialty Packaging,6.2,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
ENS,EnerSys,Electrical Equipment,6.1,"Installed base/switching costs, Brand/spec preference",Low,,Stable,PASS,
KTOS,Kratos Defense,Aerospace & Defense,6.0,"Regulatory/certification barriers, Proprietary process/IP",Low,,Widening,PASS,
MOG.A,Moog Inc.,Aerospace & Defense,5.8,"Proprietary process/IP, Regulatory/certification barriers, Installed base/switching costs",Low,,Stable,PASS,
SITE,SiteOne Landscape Supply,Industrial Distribution,5.7,"Physical network/distribution scale",Low,,Widening,PASS,
EQPT,EquipmentShare.com,Rental Equipment,5.5,"Physical network/distribution scale, Data/feedback loop",Low,,Widening,PASS,
ADT,ADT Inc.,Fire/Life Safety & Security,5.3,"Installed base/switching costs, Physical network/distribution scale",Low,,Stable,PASS,
VNT,Vontier Corporation,Test & Measurement,5.0,"Installed base/switching costs, Proprietary process/IP",Medium,EV transition for fueling equipment,Stable,PASS,Flagged: Gilbarco fueling business faces EV headwind but has EV charging pivot
REZI,Resideo Technologies,Industrial Distribution,5.0,"Installed base/switching costs, Physical network",Low,,Stable,PASS,
SNDR,Schneider National,Transportation & Logistics,5.0,"Physical network/distribution scale",Low,,Stable,PASS,
SON,Sonoco Products,Specialty Packaging,5.0,"Installed base/switching costs, Scale economics",Low,,Stable,PASS,
CWST,Casella Waste Systems,Waste Management,4.9,"Physical network/distribution scale, Regulatory barriers",Low,,Widening,PASS,
LPX,Louisiana-Pacific Corp.,Building Products,4.9,"Proprietary process/IP, Brand/spec preference",Low,,Stable,PASS,
ST,Sensata Technologies,Test & Measurement,4.8,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
MSM,MSC Industrial Direct,Industrial Distribution,4.8,"Physical network/distribution scale, Scale economics",Low,,Narrowing,CUT,Distribution moat narrowing as Amazon Business and digital competitors gain share
FLO,Flowers Foods,Facility Services,4.8,"Physical network/distribution scale, Brand preference",Low,,Narrowing,CUT,Bread/bakery business - not truly industrial; moat narrowing from private label competition
KBR,KBR Inc.,Engineering & Construction,4.7,"Regulatory barriers, Scale economics",High,,Stable,CUT,Government services/consulting model vulnerable to AI disruption of engineering work
FBIN,Fortune Brands Innovations,Building Products,4.6,"Brand/spec preference, Installed base/switching costs",Low,,Stable,PASS,
MWA,Mueller Water Products,Water Infrastructure,4.6,"Installed base/switching costs, Regulatory barriers",Low,,Stable,PASS,
CBT,Cabot Corporation,Specialty Chemicals,4.5,"Proprietary process/IP, Scale economics",Low,,Stable,PASS,
SPR,Spirit AeroSystems,Aerospace & Defense,4.5,"Regulatory/certification barriers",Low,,Narrowing,CUT,Single-source aerostructures but moat narrowing due to quality issues and Boeing reintegration
UNF,UniFirst Corporation,Facility Services,4.5,"Physical network/distribution scale, Installed base/switching costs",Low,,Stable,PASS,
BMI,Badger Meter,Test & Measurement,4.3,"Installed base/switching costs, Data/feedback loop, Proprietary process/IP",Low,,Widening,PASS,
ITRI,Itron Inc.,Test & Measurement,4.1,"Installed base/switching costs, Data/feedback loop, Regulatory barriers",Low,,Widening,PASS,
NOVT,Novanta Inc.,Test & Measurement,4.1,"Installed base/switching costs, Proprietary process/IP",Low,,Widening,PASS,
BCO,The Brinks Company,Fire/Life Safety & Security,4.0,"Physical network/distribution scale, Regulatory barriers",Low,,Stable,PASS,
SLGN,Silgan Holdings,Specialty Packaging,4.0,"Scale economics shared, Installed base/switching costs",Low,,Stable,PASS,
ASH,Ashland Inc.,Specialty Chemicals,3.8,"Proprietary process/IP, Installed base/switching costs",Low,,Stable,PASS,
TREX,Trex Company,Building Products,3.8,"Brand/spec preference, Proprietary process/IP",Low,,Widening,PASS,
MATX,Matson Inc.,Transportation & Logistics,3.8,"Physical network/distribution scale, Regulatory barriers",Low,,Stable,PASS,
BRC,Brady Corporation,Fire/Life Safety & Security,3.8,"Installed base/switching costs, Regulatory barriers",Low,,Stable,PASS,
HUN,Huntsman Corporation,Specialty Chemicals,3.5,"Scale economics",Low,,Narrowing,CUT,Commodity chemicals producer with limited differentiation; moat narrowing
WDFC,WD-40 Company,Specialty Chemicals,3.5,"Brand/spec preference",Low,,Stable,CUT,Primary moat is brand only with no structural reinforcement beyond brand recognition
HRI,Herc Holdings,Rental Equipment,3.4,"Physical network/distribution scale",Low,,Stable,PASS,
EXPO,Exponent Inc.,Engineering & Construction,3.3,"Proprietary process/IP, Regulatory barriers",Medium,,Stable,PASS,Flagged: consulting but highly specialized failure analysis/regulatory expertise
KWR,Quaker Houghton,Specialty Chemicals,3.2,"Installed base/switching costs, Proprietary process/IP",Low,,Stable,PASS,
GFF,Griffon Corporation,Building Products,3.2,"Brand/spec preference",Low,,Stable,CUT,Primary moat is brand preference only (AMES tools) with limited structural reinforcement
WSC,WillScot Holdings,Rental Equipment,3.1,"Physical network/distribution scale, Scale economics",Low,,Stable,PASS,
ABM,ABM Industries,Facility Services,3.0,"Physical network/distribution scale",Medium,,Stable,PASS,
HAYW,Hayward Holdings,Electrical Equipment,2.9,"Brand/spec preference, Installed base/switching costs",Low,,Stable,PASS,
